Up to date
A,D,B0,B1,B2,Root,Y
54788381577422071133/50000000000000000000,33820889461894667321541307588543/100000000000000000000,1228824013317959628685459874213/20000000000000000000,14367761289168219196958132804833/50000000000000000000,2258977037284074125679230167251/50000000000000000000,18773712562138706103520939729431/50000000000000000000,386352320483/20000000000000000000
61825827446403350353/50000000000000000000,2624813402853800435315911398497/100000000000000000000,1225020795964519233556942560389/100000000000000000000,15350143869323956929087366016553/100000000000000000000,15752746178247723514279329678079/100000000000000000000,30140110995057482365569968985209/100000000000000000000,2396352362037/100000000000000000000
28564614390706147829/6250000000000000000,841719584269867458779007065249/12500000000000000000,9321636711031598881968501891203/100000000000000000000,3925879418975623939608802140041/100000000000000000000,10670258388212597584193763909979/100000000000000000000,4772389818547812239989866761079/20000000000000000000,4938466626299/100000000000000000000
71405590189805548619/25000000000000000000,9120938226515396664945003227761/50000000000000000000,3237158781044572504939181883/250000000000000000,229229980377743713530878256703/3125000000000000000,692187670235433049510313240933/10000000000000000000,15345968584106985225888060425439/100000000000000000000,1154810952653/100000000000000000000
5576064469558017487/2500000000000000000,426616070433126359680398131657/20000000000000000000,3368921637108829383076969195719/12500000000000000000,17133955816809034654934047628103/100000000000000000000,845444722379851193523691445039/3125000000000000000,71064118092841994710890031064509/100000000000000000000,50171435488629/100000000000000000000
91472560378344492629/25000000000000000000,22046900806173659165700435104053/50000000000000000000,11415406446534679770166617487189/100000000000000000000,404751961994418349653933532451/12500000000000000000,117119340287174457563923251441/3125000000000000000,2285484261535128669937434303207/12500000000000000000,1513851193453/25000000000000000000
1082094349374918739/2000000000000000000,28584288478008253542745156451603/100000000000000000000,21902248464792940654192127606693/100000000000000000000,2520207133696647069602909738033/20000000000000000000,17147097923369585962220803833021/50000000000000000000,67782906974584223876929492243593/100000000000000000000,1373091255677/12500000000000000000
11716125519754944387/50000000000000000000,2056137031141608720192840416481/20000000000000000000,4828474143616412336483773763341/100000000000000000000,23278673824654289136367481714353/100000000000000000000,6599031725669096838328761383941/50000000000000000000,38626173850975652772221456895819/100000000000000000000,3380025033393/100000000000000000000
18151204083028880191/12500000000000000000,1222063497389211915124985566451/12500000000000000000,23615761596662267115899999952081/100000000000000000000,524958767265970638998625070251/25000000000000000000,6172906786742173570510710335547/20000000000000000000,10609220103641849187127027052937/20000000000000000000,533155428167/25000000000000000000
3604664036510018637/5000000000000000000,3729295579364726510772190666763/20000000000000000000,865385569608562938898812999133/6250000000000000000,9800314551421346543217244258889/100000000000000000000,11712474276273320001279538502837/100000000000000000000,17655840546084776716964217203921/50000000000000000000,580539965491/6250000000000000000
97513643807420776999/100000000000000000000,48689220672406444453163446272669/100000000000000000000,635666367077443759599287098353/2000000000000000000,987560861923380954183663656673/25000000000000000000,738072382901222599633791004757/10000000000000000000,4055003105099904825544261616461/10000000000000000000,3821699180971/100000000000000000000
40205362942922651979/20000000000000000000,3561391513091092123817392472281/50000000000000000000,8059319045745296027902803741113/100000000000000000000,15838911249882670104425663630129/50000000000000000000,29975974012265319108423920704599/100000000000000000000,4310410306310509703021982622357/6250000000000000000,24774433767799/50000000000000000000
11902466961217125291/5000000000000000000,10335224951117375986824588856467/25000000000000000000,35192692576950779816108630757/312500000000000000,6615933104782748403060310623737/50000000000000000000,7029809597915780933826691482181/100000000000000000000,15736625341498331793751950531033/50000000000000000000,54874147029/20000000000000000000
4033862593672490031/2000000000000000000,733945673345046033796482522883/25000000000000000000,1126063652953329385182764455179/50000000000000000000,22356735703681110136715090572839/100000000000000000000,179752419460936911876033411613/50000000000000000000,9843217517127813070811194574543/50000000000000000000,56155964761/12500000000000000000
29477222118708192103/12500000000000000000,5634476317650079778783846185133/10000000000000000000,410194190195363889905729692521/1562500000000000000,4605060621641944876805948024251/100000000000000000000,744695872509350670023561624789/6250000000000000000,10539761050934427440710541486193/25000000000000000000,1149716836873/50000000000000000000
24628024761322407/9765625000000000,14870853367180439666037880982187/25000000000000000000,17707611602315821494739181366103/100000000000000000000,9638862901387777724446267629739/50000000000000000000,12573462194221976918999632547413/100000000000000000000,12380951813729296774721411260371/25000000000000000000,31574708732587/100000000000000000000
12732240517207452727/3125000000000000000,19645855625349908662665319779509/50000000000000000000,3692332391727318138558946263091/20000000000000000000,4143104529404198540401544419233/25000000000000000000,6292856643298561355820658481/125000000000000000,39878081772044879082905162234903/100000000000000000000,565913959761/1562500000000000000
9013071434640241093/2500000000000000000,7154034106375540699617157157061/12500000000000000000,97606706899807383543952043887/781250000000000000,5887000015954354236304029154473/100000000000000000000,14164121246591025069557904753729/100000000000000000000,32472286428050214530424387002911/100000000000000000000,5071603352723/20000000000000000000
10767574068554129267/50000000000000000000,4588050544148520564073496461057/25000000000000000000,8802852763666804492280013133057/50000000000000000000,9750715570334149069480692195969/50000000000000000000,30761713588279615161196244053153/100000000000000000000,13430655330651500879517267346679/20000000000000000000,275723507159/4000000000000000000
19709778444827310803/6250000000000000000,1708699127292682534737758931913/20000000000000000000,2339991649975762012794575045227/20000000000000000000,21069299233752625980480235137873/100000000000000000000,4420911489418640032733540686401/50000000000000000000,41506241713058264072330899317817/100000000000000000000,1909947230777/25000000000000000000
6530181094927447307/5000000000000000000,748532341646089714112074421611/3125000000000000000,19331661306803234025404098986431/100000000000000000000,2890546563125315744918229926499/25000000000000000000,2272493607017847244459001038357/25000000000000000000,39813947967861920362860813961991/100000000000000000000,1029420289207/25000000000000000000
13849142278467767393/100000000000000000000,1267228664938020369812909442069/20000000000000000000,3412572041880129031004962698317/25000000000000000000,11935560165276229107500775499311/100000000000000000000,26461145762768264300688794161349/100000000000000000000,50557273521447382948459455119771/100000000000000000000,2943776066983/100000000000000000000
31079942272081116351/6250000000000000000,18966861568468196553303684008879/100000000000000000000,1684120691541250385604485542137/50000000000000000000,2031742803350249079348081072187/20000000000000000000,16739842710835213550172737340799/100000000000000000000,30095851524826439653108080580627/100000000000000000000,591976187891/6250000000000000000
368845064673432478213/100000000000000000000,1861115793830160830340390059213/10000000000000000000,899318288452197145424070733217/10000000000000000000,1291394388234911120305299527031/10000000000000000000,65570831335792340152665595717/6250000000000000000,4482259039014881393441818147671/20000000000000000000,905648495283/100000000000000000000
28251595192468851561/100000000000000000000,98476656587634395813166686877/20000000000000000000,640706100709522211078487109123/20000000000000000000,1816550412340928572386901726551/10000000000000000000,272693340852522311105105654201/2500000000000000000,3000813587655770602706100472063/10000000000000000000,1262448899643/100000000000000000000
3575593380267481873/1562500000000000000,4946079576261661213569354892133/50000000000000000000,12041344628595469325831484931869/50000000000000000000,30753545944528510747320551917169/100000000000000000000,939426655326249073954507850641/5000000000000000000,73554322422745667997652182260181/100000000000000000000,10895320192651/50000000000000000000
408496893461691210577/100000000000000000000,724140313522913072759386209307/5000000000000000000,2255348880911902492935983350809/25000000000000000000,6581630215433278980322189154871/50000000000000000000,1726780989698753875976783430257/25000000000000000000,29063192163265994195133489699541/100000000000000000000,20490318484343/100000000000000000000
9191430538015668919/2000000000000000000,3139330301489419608750440251881/20000000000000000000,34643436389255236360029225784141/100000000000000000000,9907109827098445759977638435203/50000000000000000000,15498466715987813149966908041981/100000000000000000000,69851132442741637572515675970467/100000000000000000000,178524087262323/100000000000000000000
32776549810347853177/50000000000000000000,5049183276121760326427416095907/25000000000000000000,1578298185385300944359974937671/12500000000000000000,3993780516754319483568351982857/100000000000000000000,23023467192621609107058607756001/100000000000000000000,2376512166833675440992818424729/6250000000000000000,1034945326023/20000000000000000000
107205211733653729521/50000000000000000000,22994458787998300661449272073291/50000000000000000000,1511876828966926248854278863543/50000000000000000000,15572295965748156537499048227263/50000000000000000000,1860307886500997570196523524513/100000000000000000000,32510657059047255370425821177567/100000000000000000000,2981115131837/100000000000000000000
193109983943321077019/50000000000000000000,4148416181551107010341537295331/50000000000000000000,1822326375023791455609240990243/25000000000000000000,4299698571335574686726743958773/100000000000000000000,797302198593117717101168950763/20000000000000000000,1555815857399126239834450490923/10000000000000000000,3794371157213/100000000000000000000
17656617065605770243/5000000000000000000,16830822750969404278460480053339/100000000000000000000,1205010392479933312293034950313/12500000000000000000,20957816599602054007112629897997/100000000000000000000,6121987631810300528846233783/39062500000000000,46195980485943702341979591870643/100000000000000000000,28794341804187/50000000000000000000
128157813166925227467/100000000000000000000,17410249363949399573051066102831/100000000000000000000,813819820862704594774697977997/25000000000000000000,31656247152607833848939230248579/100000000000000000000,11310210318752755605765754690899/100000000000000000000,44039898210989611479546537507467/100000000000000000000,2144235122979/20000000000000000000
331911905988256513081/100000000000000000000,4909988232929480306399796309091/50000000000000000000,2934756015629456339186746475271/25000000000000000000,4067940577505423570259743766807/100000000000000000000,486528573457798532390624510077/4000000000000000000,27852758809686807166589708191997/100000000000000000000,1725500209891/50000000000000000000
170239516287253715151/100000000000000000000,1410541683079891768201273253207/100000000000000000000,2456031331583818642300324079819/100000000000000000000,26940281307531075818664211013459/100000000000000000000,41839009115131330112095935259/3125000000000000000,26696052591275375510814981677297/100000000000000000000,145363225833/100000000000000000000
133570940968089573761/50000000000000000000,274634183618504648454440212171/6250000000000000000,653856958477039389052253330251/12500000000000000000,1666594690616622040645299203631/100000000000000000000,5057302640797598637016006368339/50000000000000000000,8391373210328998666778550814667/50000000000000000000,2907416716637/100000000000000000000
417217346793069136077/100000000000000000000,20512610194860255963309903611457/50000000000000000000,10948497087311950470148281152297/100000000000000000000,12648414523414523428303559633107/100000000000000000000,411223378237671350731343214663/3125000000000000000,18376558183628018709721512718443/50000000000000000000,6558827890717/100000000000000000000
9404701439307581131/100000000000000000000,10185536517739528157721001999623/100000000000000000000,6632120978424527423408056449813/100000000000000000000,966221129776425328787079326553/20000000000000000000,8237232896419043135427724573769/100000000000000000000,19450479444888357929106524824807/100000000000000000000,19456547153/50000000000000000000
1635021113008162277/6250000000000000000,8399094165447769183841191893451/50000000000000000000,11341571619873430236768442414217/100000000000000000000,18486705306707844455583663648093/100000000000000000000,21640422708189120707239637951643/100000000000000000000,25456071799134617803809539351489/50000000000000000000,1387122714871/100000000000000000000
3835996173191413483/12500000000000000000,31330373722660430261579432321333/100000000000000000000,13531986331327085723301670653551/100000000000000000000,3048687262190586813333803580233/100000000000000000000,13206691399111927959209484297643/100000000000000000000,28077309639534778877084804959911/100000000000000000000,68910819171/25000000000000000000
14171806202317465883/100000000000000000000,9803604247209210286920283323067/50000000000000000000,1301392332789855226352187295563/25000000000000000000,4991326111444119637686725169597/100000000000000000000,22633377531356381145734057076719/100000000000000000000,28900608999656796208887769233873/100000000000000000000,724795371723/100000000000000000000
74842940194790666937/20000000000000000000,222981320920117814365027589591/5000000000000000000,5053349324035492076859270512047/50000000000000000000,13620681203301872686354255506551/50000000000000000000,11972342671184592794188960070991/50000000000000000000,12224328635079258666870126770989/20000000000000000000,8456641209903/20000000000000000000
56542067133782870227/20000000000000000000,21931339807438782450346409682081/100000000000000000000,2050253436231449417020741577563/20000000000000000000,10033274888737331125092745416167/100000000000000000000,1040091335409955006180644223189/100000000000000000000,10377452761589148509346322959059/50000000000000000000,1076288573457/25000000000000000000
69441491443744457331/20000000000000000000,520315658727721025460084458957/100000000000000000000,4440492498628829567020739565201/20000000000000000000,6396585803633314864292244107497/100000000000000000000,11364167196066868514498894757773/50000000000000000000,51041137724635838710890115867607/100000000000000000000,105361180647/400000000000000000
33475305719691314181/20000000000000000000,23771432654412369067934057646641/100000000000000000000,2643438326223744630271298722607/25000000000000000000,33267128171260675627438798169/25000000000000000000,12439453707107175619239880139773/50000000000000000000,25793515855717636198195166755311/100000000000000000000,76069897489/100000000000000000000
15730658723477152689/10000000000000000000,42445793662188072341249034427821/100000000000000000000,661698328151939905350426141507/10000000000000000000,12598473977112612706234748222581/100000000000000000000,12902572211119075666317111356221/100000000000000000000,32019717935080218369770105068743/100000000000000000000,180089425001/2500000000000000000
28959546313082692867/50000000000000000000,21279886602009282540173497784987/50000000000000000000,7312932454863575497686122197629/50000000000000000000,2032785522331842587126354961817/25000000000000000000,13708742720550495685879688703761/100000000000000000000,3627086411605354893630330472539/10000000000000000000,217694685181/100000000000000000000
175133797229013199537/50000000000000000000,8853703968489984383590678996541/100000000000000000000,4720012378169322511798977703417/100000000000000000000,10604995858870032156144539938419/100000000000000000000,22345669966521995938332597772539/100000000000000000000,18691111474292185290916130734303/50000000000000000000,31507641411/6250000000000000000
108615032901708211283/100000000000000000000,25386978077936699521376802694923/100000000000000000000,1125778755124429344943802505929/6250000000000000000,9953455587699097968781560974877/100000000000000000000,2451011711349173343768557447109/100000000000000000000,29298302268565344778731167583481/100000000000000000000,875950411097/25000000000000000000
210897006342987798279/100000000000000000000,47603691349918160357235425168081/100000000000000000000,425911367026795849726667704071/3125000000000000000,5265691660723496566215235335539/25000000000000000000,1958956076744797105250903179297/100000000000000000000,35447297321023884455562265057783/100000000000000000000,391564236347/6250000000000000000
40389699859218308757/12500000000000000000,16366800997469379024212062036463/50000000000000000000,12647807651873008377824405714741/50000000000000000000,20121932322394516671580965723707/100000000000000000000,514367099116792305051032330971/10000000000000000000,12528247168413937273372718831147/25000000000000000000,2761015971947/100000000000000000000
5876751582980659459/10000000000000000000,19130928034725316514355228040421/100000000000000000000,5024882703072157078650988100087/50000000000000000000,14204773174301084961388889973269/100000000000000000000,3860683911594992606533735970371/25000000000000000000,989775422879169999312818326807/2500000000000000000,2516202867/50000000000000000000
23222397905147752901/5000000000000000000,3238646319423356762670458083301/20000000000000000000,3796311859990723431013058183789/25000000000000000000,733095772745651429579301966767/100000000000000000000,1488433596423768365247105299483/10000000000000000000,29659782871753661674851885227787/100000000000000000000,2600583039941/100000000000000000000
62973524762559086811/50000000000000000000,43120498462069942935766574577989/100000000000000000000,142233524917580819474673631133/1562500000000000000,3354959828178564406296880181891/100000000000000000000,143375985689108403106505542589/100000000000000000000,5102178411334057077617352520507/50000000000000000000,399388549/100000000000000000000
1573801635815477311/3125000000000000000,25694994826398251281848026366977/50000000000000000000,18119886609500638880665479389383/100000000000000000000,15106823238835832393229822777837/100000000000000000000,22737999032263169816196848883/5000000000000000000,6458635074762225590202598058321/25000000000000000000,1373691760373/100000000000000000000
216119979572572471293/100000000000000000000,4507453884779593280164686053741/20000000000000000000,18838232455406724143536704148613/100000000000000000000,9026988985410033675101142703709/50000000000000000000,46161049384893220386373717379/20000000000000000000,30578044703879801494605898327051/100000000000000000000,195774217359/50000000000000000000
92248192843903405389/100000000000000000000,9031834696642028919985269277571/20000000000000000000,6042117380024679971025090155583/50000000000000000000,6613093430706933728784395404831/100000000000000000000,2086911965742231939071957033999/20000000000000000000,29030814895646630851371316724123/100000000000000000000,860951413291/100000000000000000000
4098559324869815603/6250000000000000000,24448272103495865400705515605551/100000000000000000000,9098273027962956399386897546163/100000000000000000000,5271904534148879890162580495379/50000000000000000000,3739960994676928363210996223639/50000000000000000000,27083191745407922093852695789799/100000000000000000000,2036795326531/50000000000000000000
3540145088393326277/10000000000000000000,15679839912398902401461783704509/50000000000000000000,4505975147028191747183324009673/20000000000000000000,343634706498166047081469111223/4000000000000000000,12536734783013013674488462735673/100000000000000000000,21391647607975711126258485901441/50000000000000000000,20969073853/25000000000000000000
72099764405139392787/100000000000000000000,14964273691678038676922837936961/100000000000000000000,991461861296262168566183037459/12500000000000000000,518621155490660815403838503683/4000000000000000000,8727147454134848118015859289477/25000000000000000000,54057207810282291421667454323869/100000000000000000000,380843192857/6250000000000000000
140135604148731772117/100000000000000000000,31017307719168622497342693474799/100000000000000000000,2499828128212565475698754413037/12500000000000000000,13476665224590806002964241800801/100000000000000000000,264588597558247791379279110171/6250000000000000000,18534282060130687037281494153511/50000000000000000000,4956609696839/100000000000000000000
218230874788672630787/100000000000000000000,23503587354763997431985085934491/100000000000000000000,1051280380357536055914693716439/6250000000000000000,79937328845095744838270312353/625000000000000000,1015379738371789854241471365769/100000000000000000000,29065462542064182725365587379083/100000000000000000000,1424295754073/50000000000000000000
48204152642477038203/50000000000000000000,14324661044648056491060303643729/100000000000000000000,7234858552239826483744946878023/100000000000000000000,4435430076997685580534999144379/100000000000000000000,7290959495658668386911386929313/100000000000000000000,151280565703610216797231061307/800000000000000000,1093731043939/100000000000000000000
125998706646088176419/100000000000000000000,4741546760990054902148807585701/25000000000000000000,24232172609527507571836852054633/100000000000000000000,2139744375336441141373500439913/50000000000000000000,11939041036604583629068091737009/100000000000000000000,39475714367629333664133224242111/100000000000000000000,1262948455031/10000000000000000000
234461163101215034333/100000000000000000000,3011429860744343925955262583431/20000000000000000000,12320682207358079442314135549/5000000000000000000,3491765465268323953113846049123/25000000000000000000,804277445860101075785705436337/100000000000000000000,2300236886421778981284403054459/20000000000000000000,66255951761/100000000000000000000
96427543558870181359/50000000000000000000,23979978356955587106289044409307/100000000000000000000,2092946774910445775085238710179/100000000000000000000,15311222693914477466809898737933/100000000000000000000,9392726923967506356372702164743/50000000000000000000,35074929407902041664802556695769/100000000000000000000,672870648913/12500000000000000000
368409820309398203/250000000000000000,32972689226315066706254239665421/100000000000000000000,6822640266933238856009455780907/100000000000000000000,5298097542714015540247774098317/50000000000000000000,1183957930361497521798244318217/50000000000000000000,19491737045373687129177374960791/100000000000000000000,979484752019/25000000000000000000
763101926077095163/312500000000000000,30964200839057750361260661974161/100000000000000000000,18095676137829687271248166396591/100000000000000000000,1389712137060611610610240554679/10000000000000000000,1177087376874927127707124302597/10000000000000000000,1749312419488460658943004474841/4000000000000000000,7142744247891/20000000000000000000
19114974052607018183/25000000000000000000,1795316077341109693397974144223/25000000000000000000,13575949049279045751435910837291/100000000000000000000,1830050210446685916795339965951/25000000000000000000,21604952645890238127912640132789/100000000000000000000,4194617463115924863264302990733/10000000000000000000,8650141447731/100000000000000000000
4223629423736970293/800000000000000000,23518432719105735468345058157931/100000000000000000000,48695239013783647185437194511/25000000000000000000,40069085286555589733615748169/12500000000000000000,628220827562744733489116645209/100000000000000000000,228070559434589951569674304251/20000000000000000000,15361304673/50000000000000000000
48954657563756715021/50000000000000000000,37924374329255759207014221733/1000000000000000000,10603715304667842313635160556189/100000000000000000000,2891751638421487363582963934063/50000000000000000000,1029673579147743475255788812691/12500000000000000000,6136578803514346894555915644697/25000000000000000000,402273397153/50000000000000000000
26021732937614650749/100000000000000000000,666110033245440310627459187483/12500000000000000000,1030937075395149368845977759967/10000000000000000000,15071572386480905883066840262691/100000000000000000000,20576558521956652599330780577923/100000000000000000000,22704925068151875253313672936291/50000000000000000000,5114016203731/100000000000000000000
18185984442270569221/12500000000000000000,10674300756890200764277425908881/25000000000000000000,1180482328860391687061946962709/5000000000000000000,29562085452646052549840627244633/100000000000000000000,5644690802977464017312669585129/50000000000000000000,64075255738399676749409269887711/100000000000000000000,21266010653553/50000000000000000000
8494306070055415693/12500000000000000000,7004511707508390622609055469771/20000000000000000000,9999662148757025600221646947447/50000000000000000000,37693930325155922285184077013/20000000000000000000,3027184221655565697888756334609/50000000000000000000,17979177228555765046216245923847/100000000000000000000,319969231727/50000000000000000000
234658542551335331911/100000000000000000000,33371337829988176502356461365719/100000000000000000000,825792057901088576851829222891/5000000000000000000,15609734837493412810507660645401/100000000000000000000,4087368676339098992702696176767/50000000000000000000,1005246577842793014261395625813/2500000000000000000,7315572415897/50000000000000000000
9261827750072845703/6250000000000000000,3493274607925114798071557299673/12500000000000000000,11481954699193461828393777399091/100000000000000000000,1180972194067738453431593509789/12500000000000000000,7072127787455152194029006802581/50000000000000000000,1752012913370756546060764081479/5000000000000000000,12022940875539/100000000000000000000
378945926941510766201/100000000000000000000,3899527510296509327300117492213/10000000000000000000,1914971382794113368682160719189/25000000000000000000,15767858910978764717931671517593/100000000000000000000,3776310319895468314482961183377/50000000000000000000,7729965547983716288956047639323/25000000000000000000,1886323590383/6250000000000000000
86894466387299855629/20000000000000000000,4330309634838303719168639914293/50000000000000000000,774928473749941111556983865411/12500000000000000000,3165102590478180232849538333817/50000000000000000000,988907232998366837453604093681/12500000000000000000,1021884295801989303100466701427/5000000000000000000,4423096997191/25000000000000000000
4077541809292192647/2500000000000000000,1894834625349019444714765701871/50000000000000000000,2278488673874872089452092417501/100000000000000000000,4774858756825392721252112627431/100000000000000000000,15025152086755730281352452628097/100000000000000000000,21472369147196666519227651236817/100000000000000000000,1688528085263/50000000000000000000
45520423639921520319/20000000000000000000,5265093723816547498454758417679/12500000000000000000,116682619446384410251271381497/100000000000000000000,16115595352659744034841312806137/100000000000000000000,7647215220690666225909733951319/50000000000000000000,1527715840932686396170507598599/6250000000000000000,25782187851/6250000000000000000
15313492371492860553/5000000000000000000,2254097792530852156494501819221/50000000000000000000,9334778563125216025905929163219/100000000000000000000,2407574189744874572212114054757/25000000000000000000,11237629247849747374272048496541/50000000000000000000,41295079072651515762510079439399/100000000000000000000,42472070359393/100000000000000000000
3857080362091397343/10000000000000000000,2811953017906391746235741976741/50000000000000000000,4958102179140985054769588900931/20000000000000000000,2932806070678019411881268537727/100000000000000000000,7308475270043268722628668680937/50000000000000000000,38610545214965690071848286670021/100000000000000000000,2308541027987/100000000000000000000
3396467535902267983/50000000000000000000,31522905947758139792023817351967/100000000000000000000,1941630685877147875889394793463/12500000000000000000,1910552763074709246271972026393/50000000000000000000,143943906942828889353690024371/100000000000000000000,561626140549865460163438837703/6250000000000000000,18329560591/25000000000000000000
259094256002055551059/100000000000000000000,13392965863186384678610040880579/50000000000000000000,17122760844997759770001989837031/100000000000000000000,738488491075380542967367666997/6250000000000000000,3833779825938325790103502699983/20000000000000000000,24032951502914464868014901371661/50000000000000000000,1609346592769/12500000000000000000
21435808954742285623/100000000000000000000,1928930977889721316028287414553/10000000000000000000,14352156337472864995190301762793/100000000000000000000,597551173734778713275352640309/4000000000000000000,31324070113990283824267792802543/100000000000000000000,59163105726422437520976381294291/100000000000000000000,3810350912361/100000000000000000000
305445800428262668499/100000000000000000000,2844216893406078242270305738733/25000000000000000000,2748966159251682481421234366457/50000000000000000000,3444411729300036638859067623843/25000000000000000000,2000222256333909640268190479511/100000000000000000000,20958068734479128547623960249139/100000000000000000000,6440114713329/100000000000000000000
36877082101271554387/25000000000000000000,626682753327836710069918356441/100000000000000000000,2696473367823964052224913491179/12500000000000000000,3650895190686063239997287560713/25000000000000000000,5174791942673429664810651648441/50000000000000000000,46370514771382581446130199504819/100000000000000000000,8920840275491/100000000000000000000
78981095286657508681/20000000000000000000,1941118617041747906802777605887/10000000000000000000,500016573793933389846653424279/12500000000000000000,8836527098412310869450247508017/100000000000000000000,2988337511911402618544598983543/50000000000000000000,18784778622880899680632564836941/100000000000000000000,330863318897/25000000000000000000
22173825941014254761/4000000000000000000,11132967427419388920142507017849/25000000000000000000,4764178442598958777742575917737/25000000000000000000,1944987127436268684837278667971/50000000000000000000,2216635230824683161717532278759/50000000000000000000,1086084742949144422088512994233/4000000000000000000,18083864607151/100000000000000000000
485894062549577403517/100000000000000000000,18281091471363477029064734438721/100000000000000000000,3846678823672619037195773629541/25000000000000000000,8070451058363946109542976791553/50000000000000000000,2543439482830722843815502858893/20000000000000000000,44239646257386021671634125596947/100000000000000000000,255247008643/5000000000000000000
20839040526240127539/25000000000000000000,42299555928838655536955069817491/100000000000000000000,16535437932194695313495438154079/100000000000000000000,142185440281652160341687189497/4000000000000000000,24064449553501366783405527387911/100000000000000000000,8461399638237761692000591988221/20000000000000000000,1813464622377/100000000000000000000
7759198453865130573/4000000000000000000,4781996448300036461809944100893/10000000000000000000,15289387164166536309752062654977/50000000000000000000,8650524991924664825313974190281/100000000000000000000,15192955546291563384440810489579/100000000000000000000,53960702555016394661529582428717/100000000000000000000,1248466851159/20000000000000000000
312937367101003681121/100000000000000000000,1600630345664104051127536535919/6250000000000000000,9262459770225405443212845262231/100000000000000000000,7971094450820507841264932644577/50000000000000000000,8391750455077027610804146064207/100000000000000000000,16772737595356059416112744803673/50000000000000000000,11033233398317/100000000000000000000
20070888889993520101/25000000000000000000,28247377232218995324143839394363/100000000000000000000,15057048644985700912307568632159/100000000000000000000,11369488924603075699743781296037/50000000000000000000,18466354240555599599553935856157/100000000000000000000,28082179736952304540058624986211/50000000000000000000,4445756120843/50000000000000000000
204850156581880093169/50000000000000000000,1111840610473321545591467352079/6250000000000000000,3397868436545377310198229151171/25000000000000000000,10491081033373121779017026159577/100000000000000000000,2986415518211460097752432142773/100000000000000000000,134502136538595035884578670109/500000000000000000,50791249909/800000000000000000
142567423707825081827/50000000000000000000,127153295836732055109410221239/25000000000000000000,9411513496035230328271645747/20000000000000000000,536091738312107397736123921669/12500000000000000000,10503199326961272583285793106111/100000000000000000000,11293601136731025813690935487147/100000000000000000000,292004870829/100000000000000000000
48525230137187759591/20000000000000000000,99787906750434037712626766223/625000000000000000,1017165540159612121644348414911/6250000000000000000,4500684638368004335594497436899/50000000000000000000,16835453150071019817917021681427/100000000000000000000,65683298274391333424514393499/156250000000000000,73457023203/800000000000000000
135233964154986723997/20000000000000000000,507002327090031470965488995427/4000000000000000000,249687796119938050714087253691/100000000000000000000,1851004703017449575701494960123/12500000000000000000,466948953230894979657125963559/50000000000000000000,138843302380938774079588306497/1000000000000000000,77916213621/100000000000000000000
230201817649482583593/100000000000000000000,3970019615991120421952260664671/100000000000000000000,2425541212911937932419454190511/25000000000000000000,2034028215946300545856508613903/12500000000000000000,4391334727470451075198964826509/20000000000000000000,23901275242066269062113829587591/50000000000000000000,37750848358557/100000000000000000000
6745769150590369353/3125000000000000000,12455531051298358631563877863891/100000000000000000000,9790205428568461825471316791/78125000000000000,5006806338607682592200267705419/25000000000000000000,18969206406007796182252911901277/100000000000000000000,51473994066701837810962303740993/100000000000000000000,16797440142519/50000000000000000000
152773141061632177459/50000000000000000000,7568310459162962644342167975713/12500000000000000000,297112153285026021914250967671/20000000000000000000,13000889508156170239378110851919/100000000000000000000,17994189168629383222751048406023/100000000000000000000,31578784513384376240401168933131/100000000000000000000,7359305119909/100000000000000000000
9219404845153478641/4000000000000000000,26062784773448125027453871449057/100000000000000000000,607743694829848320876512076973/4000000000000000000,3143620294246972186840692925291/100000000000000000000,3721690388805346006241925284669/50000000000000000000,25484040222880766622670246272591/100000000000000000000,4813209593/1562500000000000000
71531508719801981599/25000000000000000000,2524447467203802027681644859367/25000000000000000000,2655927759884519199464866799221/20000000000000000000,13087545602807787363591012227/625000000000000000,9698670292748070299634785960441/100000000000000000000,6181943151464974958040649036969/25000000000000000000,1350161057231/50000000000000000000
4643689726212499737/2500000000000000000,95308636310771689147705474731/2500000000000000000,449224669140687630109988985757/12500000000000000000,11253571566624203675086865889659/100000000000000000000,2293009123479074240714657739781/25000000000000000000,23850737204327507396621981344841/100000000000000000000,4529399187139/100000000000000000000
360189090484618295447/100000000000000000000,29177255373914814742366516154303/100000000000000000000,2912592134532868264660999226231/25000000000000000000,236415517194413053963142150269/10000000000000000000,18388281620998763047187430820567/100000000000000000000,31947962053493687142425125902001/100000000000000000000,1968506364987/100000000000000000000
360716134823727273679/100000000000000000000,23364771489211587779089551574409/100000000000000000000,2728381253981678924942949001449/100000000000000000000,9753548998476100801227490290717/100000000000000000000,11714673696040891436403652021107/100000000000000000000,6009057647886529642163829439201/25000000000000000000,2445589199733/50000000000000000000
43965280247188527201/20000000000000000000,4349746635359580137287420413987/20000000000000000000,15707475243438510729000038034571/100000000000000000000,15995494987807010472447490366717/100000000000000000000,1740017132363399378677815367983/6250000000000000000,59431593563156230740932191904249/100000000000000000000,27372529182629/50000000000000000000
6261815099550331383/50000000000000000000,1212891473140826436520222466499/12500000000000000000,4382409354447928338696421295817/100000000000000000000,5864052136000102092804573306479/50000000000000000000,13205719672608537019561916553687/100000000000000000000,27847275065588001751995932033131/100000000000000000000,223036798269/20000000000000000000
