Up to date
A,D,B0,B1,B2,Root,Y
2325242016733690509/6250000000000000000,18337302283666033147841695461/125000000000000000,11069469140358903145071735747801/100000000000000000000,4591819697825502452436712410391/100000000000000000000,1309027765898315830593958738631/20000000000000000000,908845432667075609599116514373/25000000000000000000,-84968636167/100000000000000000000
37180968797345818007/25000000000000000000,41474701788111251485335468545553/100000000000000000000,15465644802911771555408932676029/50000000000000000000,4857363157237518040888399277943/25000000000000000000,3350188007988976837997296631123/50000000000000000000,15651422559099690898366854370087/100000000000000000000,-18251430497077/100000000000000000000
664943456402336007/4000000000000000000,35049222685447675936011154951219/100000000000000000000,2214200698212845169777681099783/20000000000000000000,9648310696212124563506513102331/100000000000000000000,2690934636380092531513751050881/20000000000000000000,12078939322449357709806942975469/100000000000000000000,-523342547973/100000000000000000000
26682147855668140359/25000000000000000000,7545073961868502683268138012001/25000000000000000000,4687675305502683918526682516113/25000000000000000000,13312617550391416337923192680371/100000000000000000000,5691174339818539488759784447021/100000000000000000000,11367305203763569833815309322477/100000000000000000000,-3586692048781/50000000000000000000
343573030545639360883/50000000000000000000,38067027647098372009499439745119/100000000000000000000,539901148919761325844569104941/25000000000000000000,8638520642101437931474813142867/100000000000000000000,13064430798922542837922315359553/100000000000000000000,-226687467249397525600673131939/100000000000000000000,-1886327084847/2500000000000000000
5682709514632763487/1562500000000000000,11354801724361779914681434687787/100000000000000000000,326142583194029546400698016211/2000000000000000000,23227154065421256498464618606497/100000000000000000000,7443681806317144427739117517577/100000000000000000000,933017322871728166000845171/50000000000000000000,-139403695913677/50000000000000000000
130691133685047082563/100000000000000000000,5504031731490177791918279262891/25000000000000000000,983450859490264290201035212921/20000000000000000000,4166024105246690028084013807577/50000000000000000000,52393645910389591331131605409/25000000000000000000,-7084168193537415626683151188499/100000000000000000000,-116742908161/50000000000000000000
4653592091767214267/1562500000000000000,14087347445527588529252446130629/100000000000000000000,1934003794578847969358278803537/20000000000000000000,3230239454057621115149829736013/20000000000000000000,2582506042478996135672869661827/12500000000000000000,2373678640766644888055254619/100000000000000000000,-3942051810831/3125000000000000000
366440386522322507963/100000000000000000000,731578969542928358054484955893/2000000000000000000,284549774618483241088669597911/3125000000000000000,1628218963819325495677553957147/25000000000000000000,18970554184173439036881259879049/100000000000000000000,2802424176547763915115098163991/25000000000000000000,-3832164935997/100000000000000000000
173421190232656453981/100000000000000000000,2714424956012958671047264625471/100000000000000000000,525913565675750716342918895547/50000000000000000000,23499756774789203165415397929291/100000000000000000000,6535166940496836651010777115081/100000000000000000000,5106487613741315934430539/50000000000000000000,-307570812746633/50000000000000000000
47399073704201279717/100000000000000000000,4037456361558903071696909195069/50000000000000000000,10005364508799816955181934357427/100000000000000000000,5904313557411408223115134318767/100000000000000000000,3427470230648896857824672400551/50000000000000000000,56591763253220954761269922893/100000000000000000000,-2220944738693/100000000000000000000
391075571306016627763/100000000000000000000,443163949669778239510587048191/1000000000000000000,397941367441006767791136008607/2500000000000000000,5717859282113578803409742761149/100000000000000000000,19077742813579499587524080348697/100000000000000000000,9864856014223838460607962805751/50000000000000000000,-45872072779921/100000000000000000000
125083804826789316203/25000000000000000000,35751695397247459094672548340117/100000000000000000000,9232462203269053380960492133253/100000000000000000000,3337602273300629502753843600597/50000000000000000000,5991368304326320439713335748399/100000000000000000000,-480651708589949445572040066839/100000000000000000000,-3822901030857/12500000000000000000
162792728621413662077/50000000000000000000,7619615982849385362099899616629/50000000000000000000,1215467583696646845986120415561/50000000000000000000,5304983995818394437214550016861/25000000000000000000,4698988961412752793548140322577/100000000000000000000,20956647943839532659331321413/100000000000000000000,-61797046023021/100000000000000000000
339589856733585458803/100000000000000000000,1699760694760831816444121299893/5000000000000000000,979631623755979591807877024471/100000000000000000000,627970199645100445486966325559/5000000000000000000,294636395753990913516282397379/12500000000000000000,-464044378027200298206220856871/50000000000000000000,-6963414914191/50000000000000000000
102410715001030966801/25000000000000000000,1479147356675176840132955894317/20000000000000000000,1524988998543565452684523654111/20000000000000000000,5714135719935859553963166344617/50000000000000000000,793717444533149161567301064677/4000000000000000000,184517041937474583414122081/100000000000000000000,-99031013128709/20000000000000000000
3438442229106253749/50000000000000000000,893138335293580472119333319139/10000000000000000000,1984728813830473296817301153281/25000000000000000000,5359150530067854102269523906793/100000000000000000000,16974941835973688349147150090051/100000000000000000000,4768005689880800643741058991/6250000000000000000,-1216101401919/50000000000000000000
68957156921249348601/25000000000000000000,29534276863483452224211242910173/100000000000000000000,5100960888305413142131349021973/50000000000000000000,10354939717229115736626911643407/100000000000000000000,4735211051471227133295708064797/50000000000000000000,1941945936380796392783944430189/20000000000000000000,-7293497678537/50000000000000000000
30754131861447135559/10000000000000000000,6180718259939629176923673514079/50000000000000000000,5577357425778671886560450916957/100000000000000000000,5263950377049616665634608103687/25000000000000000000,26370642483082999999235170821367/100000000000000000000,133159420573648868983160797/25000000000000000000,-151958052745193/50000000000000000000
61740375469010978911/25000000000000000000,9607962246475992827119287799579/100000000000000000000,2147610293362278929719728459599/25000000000000000000,2321907405644712412004686864371/50000000000000000000,2927056193405276248835876123531/100000000000000000000,412377453888360081248732266119/20000000000000000000,-45124913521/25000000000000000000
81618310568415346463/50000000000000000000,15459628320802204099249903677149/100000000000000000000,5362785165570858236993325972583/100000000000000000000,18554668900093958514361791883839/100000000000000000000,283127684555802041957792800439/25000000000000000000,453934462365359791385508007321/100000000000000000000,-1360733678477/50000000000000000000
38849714811038908269/50000000000000000000,9190992523282711765176318021207/100000000000000000000,4042645513441241202601959288839/100000000000000000000,4008372598576094268530043769143/50000000000000000000,1471528024090679167937809237239/10000000000000000000,7635193765693860710067092009/100000000000000000000,-28754596292129/100000000000000000000
68698169245178765759/20000000000000000000,31979426915564071782972359849783/100000000000000000000,50906637837342278714701660017/6250000000000000000,4056177163910717691614220289553/25000000000000000000,1580622869971114650310701718893/10000000000000000000,1093324853834397250366858581087/100000000000000000000,-8958717569871/100000000000000000000
87175095168358296947/20000000000000000000,22771262625936629603700780370789/50000000000000000000,2379422933323479118374111357633/12500000000000000000,310327059082309704793568070343/3125000000000000000,3285894928726832774711002031647/100000000000000000000,829732928352841477757266114423/2500000000000000000,-2911349679763/100000000000000000000
9105236074710522869/4000000000000000000,8080349961297776203615959321527/50000000000000000000,16718738861448550802448068736919/100000000000000000000,161583762190867499815232657909/781250000000000000,2809310116960917643107185049027/20000000000000000000,938763245589836807423542477/12500000000000000000,-47402071895321/50000000000000000000
156316127428351998151/100000000000000000000,7820217520949345446031061976799/12500000000000000000,4784187445578000656180763278919/100000000000000000000,11335588653773836200672195242213/100000000000000000000,2976421317104764484662020426889/25000000000000000000,-2471156112056735456953883959787/100000000000000000000,-9359764696389/25000000000000000000
183765495579056929727/100000000000000000000,27246731143927740691476155320637/100000000000000000000,697657621833441548897463678183/12500000000000000000,2006581519133513500239262325471/50000000000000000000,1498186560926586367729998860023/50000000000000000000,-1606617724390103141058346388509/100000000000000000000,-1527868844261/50000000000000000000
52572765174823515291/20000000000000000000,358911639465954991451042336317/3125000000000000000,12147101881185330252701086545529/100000000000000000000,3668446156099519890922864759693/50000000000000000000,10743201817442350712939034341971/100000000000000000000,17006562721624535841183509887/100000000000000000000,-3428825598043/20000000000000000000
6947150074259084237/3125000000000000000,41839151256810945103498732767857/100000000000000000000,15855948922991871554210074639943/100000000000000000000,14646731683736159190415120129343/100000000000000000000,3003692328344795751714979313149/100000000000000000000,1007894166653305040968570834409/4000000000000000000,-223444705911/20000000000000000000
474421971934455383189/100000000000000000000,7932839450739780526794238870287/100000000000000000000,2298750854093503130912396563901/25000000000000000000,26486481344189499701645051003291/100000000000000000000,14561117003652554548017172210213/100000000000000000000,89488899637189271970664799/100000000000000000000,-351967855618517/25000000000000000000
26858669364951200577/10000000000000000000,11239764609924356114472338165033/100000000000000000000,10125566779499101678741901432873/100000000000000000000,17641679644725430402426847957351/100000000000000000000,3206223627059753810639342902763/50000000000000000000,1110654122143789444765647467/20000000000000000000,-39526073058721/50000000000000000000
59805693872706494711/50000000000000000000,6363150425095123705234744258561/100000000000000000000,209229295239890733175295448367/2000000000000000000,2465567015697491511381702809439/25000000000000000000,982796475776983772514758768581/100000000000000000000,20548136949271227292625052767/50000000000000000000,-92773765197/4000000000000000000
2523861673347840919/10000000000000000000,9416960794106626170395211561423/100000000000000000000,399255167615329726474243931367/100000000000000000000,25376908641019668901930952193389/100000000000000000000,2325961247586093169724314636959/25000000000000000000,849025714972601088846170709/12500000000000000000,-30769726990937/100000000000000000000
61206720525797985739/50000000000000000000,30232291780478167972749799421713/100000000000000000000,1770868776974375555698252360663/50000000000000000000,492714486428659017558195302051/12500000000000000000,152932875660823317384841035501/25000000000000000000,-5444458079069753497277471669451/50000000000000000000,-307898785393/100000000000000000000
61612630002652964581/25000000000000000000,472084430394415712639836672933/4000000000000000000,15923322247174651635322769498427/100000000000000000000,1003597393947688389002664952707/12500000000000000000,5520123659513491214937816272473/20000000000000000000,405985974011735566890096663/20000000000000000000,-9795759773947/5000000000000000000
8194163364414559849/20000000000000000000,645779873861841946320715261551/5000000000000000000,203564601258630456874337415651/2000000000000000000,16399771590999099453130101762301/100000000000000000000,1423416207828412638015925504709/12500000000000000000,242531206911185084655530499/781250000000000000,-17113383798633/100000000000000000000
256329694966888445481/50000000000000000000,12946138904440875932886259347/62500000000000000,12553102287076651100399642622037/100000000000000000000,5010423139530764007030856712801/25000000000000000000,2512823147311177631400930529633/25000000000000000000,25593204756949780198211298669/100000000000000000000,-65625019299/6250000000000000000
644355870365550205899/100000000000000000000,157422254753954819205393630959/6250000000000000000,11781659161002673327727331035757/100000000000000000000,10684483087800446182884810250191/100000000000000000000,2472663660272645460817107952661/50000000000000000000,12354502092080192686762383/100000000000000000000,-5441656488031/10000000000000000000
12087042179780623801/25000000000000000000,4484980345188660838662837850331/12500000000000000000,6543349784522213028555592013141/50000000000000000000,481213386486506170225258924773/10000000000000000000,1700728871505358070718006233399/100000000000000000000,-2821504449331740601298856516079/20000000000000000000,-88049876809/6250000000000000000
17144791624906820783/50000000000000000000,4126260157503864251212734316471/50000000000000000000,3615477248779129154635340986773/100000000000000000000,829144229982254926750794307001/12500000000000000000,12306670807839057041630930667319/100000000000000000000,9798791943265739051314184269/50000000000000000000,-465528480351/20000000000000000000
7119780055888478901/100000000000000000000,1228757846922955711186096987189/4000000000000000000,3694306413756920588480652853763/25000000000000000000,2073954859145510673322805097417/100000000000000000000,33027524191521670917466043423/781250000000000000,12163791650936296660790987462577/25000000000000000000,-49264706851/25000000000000000000
9472582885701692987/4000000000000000000,1706663899305062189053645635273/3125000000000000000,13709080996034352960084877639813/100000000000000000000,20557266822721352048405226762249/100000000000000000000,3324134427296961062887326617153/50000000000000000000,27904727612209113194294948649507/100000000000000000000,-11033200089783/100000000000000000000
2730913924277832007/25000000000000000000,33227416882421810622703642080449/100000000000000000000,12393934502076187149121772149131/100000000000000000000,1546236187699238254487533528353/12500000000000000000,3321545150844935523392048356381/50000000000000000000,608077648201828163575983411479/4000000000000000000,-1672901887401/100000000000000000000
260969792998342282017/50000000000000000000,13814291105908233966583512722339/100000000000000000000,3861227380244444400095283805813/100000000000000000000,748493627552270827026811259959/100000000000000000000,583167682342907235245117207559/10000000000000000000,7431165994041036769912583217007/100000000000000000000,-488577573857/50000000000000000000
271310758628784359347/100000000000000000000,1028001800948644030909753084273/25000000000000000000,11877484356605849950483233277599/100000000000000000000,59984446845502413874024832613/100000000000000000000,156515464946323847525285375859/5000000000000000000,282224785311108695343907366473/20000000000000000000,-46873790017/100000000000000000000
275870608246617583719/100000000000000000000,4920693279555786230850006619607/100000000000000000000,83296661215314491977798713901/1250000000000000000,5483264356869709981661199131273/25000000000000000000,8606180004163523121514151581939/50000000000000000000,2251929993493201558995763/10000000000000000000,-1526160709179477/100000000000000000000
187524093833601349699/100000000000000000000,2119096316735508800776551197611/20000000000000000000,2177723303591346387165161776263/25000000000000000000,26243777983031211350766563981987/100000000000000000000,172369743660091483089754247133/2500000000000000000,2239142678104978806194587779/100000000000000000000,-150579200421083/100000000000000000000
17646631951770686691/20000000000000000000,862887929740806175472057988627/2500000000000000000,3546429831089020814712157196459/20000000000000000000,69705585390987834107071829943/20000000000000000000,6590712752416500711551989107953/100000000000000000000,46697469301430637652561678922967/100000000000000000000,-46743019801/10000000000000000000
111837212486797145447/25000000000000000000,15066247424623405590659473023117/50000000000000000000,771930545890326122205589663669/10000000000000000000,8970299174397165734673983465239/100000000000000000000,2587658794984157876550289353183/100000000000000000000,-288092592028825987738279947081/50000000000000000000,-1021121679299/25000000000000000000
3206184172655900857/10000000000000000000,11825267919874133219120445188209/100000000000000000000,2731250339628550956095311932819/20000000000000000000,16598482440569739909741722630693/100000000000000000000,706663600507547037026947283147/10000000000000000000,53791570615155429386605992983/100000000000000000000,-2826698755817/50000000000000000000
15170422705435700753/12500000000000000000,58226604039444961203499676409/500000000000000000,3886343086338681463066759021267/50000000000000000000,12182394536819502220651511229817/100000000000000000000,15002826997444864313480810275159/100000000000000000000,3575947648197694401155484653/50000000000000000000,-44994862870573/100000000000000000000
5878030792903831209/6250000000000000000,370805376738831074465601357501/4000000000000000000,2123702439389648400315855721221/12500000000000000000,24097260065296253381657271049011/100000000000000000000,11241486317230263592497377911927/100000000000000000000,1504149708857752337936845769/100000000000000000000,-136113920059911/100000000000000000000
198952938046917682403/100000000000000000000,271080167429954579194418869971/2000000000000000000,8491416318810681488579122963521/100000000000000000000,3850863643660780770726216401973/100000000000000000000,83957386182956164268828053079/800000000000000000,399051869700175365912347254867/100000000000000000000,-107201325003/6250000000000000000
75346834217020784137/50000000000000000000,12370117364073720697904651908077/25000000000000000000,1219289755616729056498003240387/12500000000000000000,7176414918596470188444240808823/50000000000000000000,3176012223633545058505595206123/100000000000000000000,-874174421636930555850368029229/25000000000000000000,-69661081607/100000000000000000000
68813507402953682529/25000000000000000000,505653617267271939578876903279/25000000000000000000,427895298102776592483885911547/20000000000000000000,17967064267852336193748044499363/100000000000000000000,3585201276587884810352690701181/50000000000000000000,559497753301569038942317/20000000000000000000,-322790121954979/100000000000000000000
11798817262616357787/5000000000000000000,21343436300949789782202057997757/100000000000000000000,798304375166539714443954797533/12500000000000000000,1762590061051499988796441213337/100000000000000000000,2146338664689471261897016548749/25000000000000000000,11362106812895384400217116610677/100000000000000000000,-93753875057/20000000000000000000
128137857109039280353/100000000000000000000,4472719498994157777536237946383/25000000000000000000,554928714950921003392928274883/12500000000000000000,4592484180416986091725463372281/100000000000000000000,4941665475563691055875464499869/25000000000000000000,168878960274135874048369871479/100000000000000000000,-267814362747/20000000000000000000
12795739565848986809/3125000000000000000,38149550806658947454217625069757/100000000000000000000,1658338657690861336281199509867/10000000000000000000,2220415413121214994351172179639/50000000000000000000,1037937108110291149300573611273/5000000000000000000,6594277575687689958318497808237/50000000000000000000,-1139155606943/50000000000000000000
181950208429991052373/100000000000000000000,1634100381597318942123309369127/100000000000000000000,5022878914643412493340232647431/50000000000000000000,1506909329987470734249710606309/10000000000000000000,3789423953668051618173079081993/20000000000000000000,580835897857773727604303/100000000000000000000,-34432066841241/25000000000000000000
116102015144430632231/50000000000000000000,8734471390966170746902425295049/20000000000000000000,6026548583456870257963351550383/50000000000000000000,8179485743630378607628895151813/50000000000000000000,3341408127894172946727592844183/100000000000000000000,248569886759619748772055156251/1000000000000000000,-4807024639069/25000000000000000000
10309866792070679867/5000000000000000000,13051859953609067586369020582691/100000000000000000000,236149663590344900126640997123/1250000000000000000,228540955903865555553401365391/25000000000000000000,10702414267976571360890220315629/50000000000000000000,51362694018266079570811730411/50000000000000000000,-1292754835487/100000000000000000000
296571468456209299331/100000000000000000000,25109155484113386901574458329449/100000000000000000000,4832569116411373244043768056763/50000000000000000000,12734037495125655016878233842451/100000000000000000000,3438016726601725157858269159/50000000000000000000,261225288573318761721844876193/500000000000000000,-2629243409/25000000000000000000
53182844923622032339/25000000000000000000,18608736599077602300191201461231/100000000000000000000,5788997041530515684992113345357/50000000000000000000,16017226150639398975488215124927/100000000000000000000,3989824195158868612562732836287/100000000000000000000,535822178351857987329302311333/100000000000000000000,-368283063867/10000000000000000000
117439837436615849459/100000000000000000000,21856064683310757065810121943793/100000000000000000000,2351100930946614076435966476607/10000000000000000000,21013290858329747706755965102257/100000000000000000000,6742685290012944126888212655951/100000000000000000000,137042945716339611843794376339/50000000000000000000,-12173008041141/100000000000000000000
115795195548238906203/50000000000000000000,30465658405166393361654593876119/50000000000000000000,2030315721609370125302810360823/50000000000000000000,725435478244264820074584777889/6250000000000000000,2961547618286064651901693174551/50000000000000000000,-2635329256763652499372889691697/100000000000000000000,-2626533433847/100000000000000000000
23421197667538423793/20000000000000000000,4469332361097880313592990395303/50000000000000000000,21890026019673258644455560287771/100000000000000000000,10039809896378121408852801396061/50000000000000000000,22362582517384951922105496943491/100000000000000000000,123225425245887567133189999/25000000000000000000,-180556703248363/50000000000000000000
94411482192329658783/25000000000000000000,25038255628232421535521465300877/100000000000000000000,821875587959796473974864063119/100000000000000000000,17058799302509304473085562155659/100000000000000000000,1312000814433105129038968012129/10000000000000000000,11593045711295390329141428783/10000000000000000000,-444069202083/20000000000000000000
43570357369689649417/50000000000000000000,6216251333487572274304890562123/100000000000000000000,16988966465299577343562995863901/100000000000000000000,2845844149025927661258149496143/100000000000000000000,1746245640516460615482144398547/25000000000000000000,30249624910630948654337499839/100000000000000000000,-1559514852649/100000000000000000000
4678827311468619119/100000000000000000000,20451399193774772330508233212509/100000000000000000000,13298825143352548152292818151887/100000000000000000000,298159635480152187365964672741/6250000000000000000,4264124008161902638526234617903/12500000000000000000,887570608478338621870679537639/100000000000000000000,-398389275327/50000000000000000000
4096136597921067337/25000000000000000000,38412698923933105833172027966267/100000000000000000000,15989525871559893666402775532021/100000000000000000000,301649369851470381484595207549/10000000000000000000,18546621345730035067338739673721/100000000000000000000,11294813847202022403055523426949/50000000000000000000,-1747699372363/100000000000000000000
74841373082493385113/12500000000000000000,7673870824095637233501883800763/20000000000000000000,4049353527765020340859907566443/50000000000000000000,5281567415260645224053800622943/50000000000000000000,8753797347267950963445709229473/50000000000000000000,10321422337046333923245936778623/100000000000000000000,-76058556490363/100000000000000000000
21984691559890071913/100000000000000000000,11299475878196951042951302129729/100000000000000000000,3729976161377624308632221618459/50000000000000000000,1231222079233965125223804130977/12500000000000000000,6868689288008596426811219745091/50000000000000000000,52774199182331400284547366807/100000000000000000000,-9992388290671/100000000000000000000
447014031234752956817/100000000000000000000,331123790794755500322506152633/1000000000000000000,2117734562808173075819514900249/50000000000000000000,2236950098396409601048836564151/25000000000000000000,19166950498921223645124122730539/100000000000000000000,5141630662793479987370411963717/100000000000000000000,-7983652835843/25000000000000000000
54700488636866852437/50000000000000000000,20627069834921349664798165005649/50000000000000000000,103179036815454401857105260517/2500000000000000000,249038533409843099808691619931/20000000000000000000,16628390816470093503101130599247/100000000000000000000,-6219234220786165795510463823957/100000000000000000000,-358084584103/50000000000000000000
463273809738425279039/100000000000000000000,35598030042417957994402249624803/100000000000000000000,13993012226275829817676866889733/100000000000000000000,1270249863673283261894774985733/50000000000000000000,576729575861886574578959814389/100000000000000000000,-1612245278955362941234695217507/20000000000000000000,-206319878753/12500000000000000000
42008035544546676967/100000000000000000000,322625232318444657597354023971/50000000000000000000,136792929771440557832511152943/25000000000000000000,12276156471215459844839113755017/100000000000000000000,19070375174594462737414836915899/100000000000000000000,7860881446666873543137/10000000000000000000,-490214749655431/50000000000000000000
218714993076623582613/100000000000000000000,515779972633736007857318500819/1562500000000000000,265048992655514967856063573409/20000000000000000000,8327833220100388520646832839323/100000000000000000000,275348353315954433593068321619/100000000000000000000,-484239985017157348609230715031/5000000000000000000,-582084381499/50000000000000000000
44941332809733907121/20000000000000000000,6815261856823520080408456439821/25000000000000000000,12961130172931311350212828943731/100000000000000000000,839132078606065327886527382703/50000000000000000000,2630557092361036931727712386017/12500000000000000000,5749379767399968988839290670769/100000000000000000000,-78927380403/25000000000000000000
24122465345959646777/6250000000000000000,7746112230525035427682876069071/100000000000000000000,1953501772103629669055375424269/100000000000000000000,108768516951403158474434607721/2000000000000000000,2201460706970019414706818848651/25000000000000000000,4062782387135125249526396223/100000000000000000000,-614657879073/2000000000000000000
5890046280742490203/25000000000000000000,20915961619248740410792099650419/100000000000000000000,1278577641084253601880318031023/12500000000000000000,748048541759732962534647275413/25000000000000000000,14323769393863271779594750462931/100000000000000000000,2628650241489160681503218756061/50000000000000000000,-610323630639/100000000000000000000
110005344114571149031/50000000000000000000,50370528982427321879931733339787/100000000000000000000,13771675507348867502689077104771/100000000000000000000,915723160654552689747571619917/100000000000000000000,867680906322162592883351290329/20000000000000000000,-8299101135937334255042174335857/50000000000000000000,-1499763981589/50000000000000000000
140515894284749481119/50000000000000000000,2942999030046669226911789355781/100000000000000000000,870370104699667214269000856021/3125000000000000000,20859388425036427998784633390543/100000000000000000000,2755218052198488596913250159691/25000000000000000000,5496936738926861754270329/100000000000000000000,-1021154289971809/100000000000000000000
347202836347515950503/100000000000000000000,7794224535099503311729168330613/50000000000000000000,12331426294805241050655622868621/100000000000000000000,4668171524024874149929889116061/50000000000000000000,1025424634601173623870430914921/20000000000000000000,1326186821987133574521809946971/100000000000000000000,-1792682100087/50000000000000000000
80645535533671879293/25000000000000000000,89931652410477300994350423721/100000000000000000000,6808745187260105579657706489367/100000000000000000000,6501702450692165197609633215603/50000000000000000000,1317828889832710513191259202433/100000000000000000000,114048659557942025391/100000000000000000000,-338973135964299/50000000000000000000
3306147586946189133/6250000000000000000,2410486387328056298647785290387/12500000000000000000,655632592137639909560437321519/50000000000000000000,5057796879829267136971373272319/50000000000000000000,289488175655873999279195471169/1562500000000000000,87892585324891441754102811937/50000000000000000000,-7088453057579/100000000000000000000
37193541970644938969/12500000000000000000,12614584911428744632313971703677/50000000000000000000,4695856398745800796030090115127/25000000000000000000,154781369910197022605828259099/1000000000000000000,5687125538519750633308922977657/50000000000000000000,445290931838584861782614314463/100000000000000000000,-2380172129131/20000000000000000000
192190871796191662969/100000000000000000000,42507450096938853349690695061531/100000000000000000000,2890934645397490327471214968263/20000000000000000000,5382053385430910514370764826159/20000000000000000000,6245951521567099219298284310419/50000000000000000000,1003334886111633270796721297293/25000000000000000000,-5988563672183/100000000000000000000
50309824449977917711/50000000000000000000,49706346839852423147455152701709/100000000000000000000,3727055515733832804571936774341/100000000000000000000,5022181077978498518241325585711/50000000000000000000,6079139244244615878071069673061/100000000000000000000,-478778606858913055962349466719/12500000000000000000,-12923129595369/100000000000000000000
134197310564684121969/25000000000000000000,29705172181138837945345117991187/100000000000000000000,1677485790078668039918045388627/100000000000000000000,24897245012818157630904599555219/100000000000000000000,20396241537582398682593921426233/100000000000000000000,4954191209432303614638464943/20000000000000000000,-184118891563877/100000000000000000000
59299642263863566653/20000000000000000000,11779767088141215231412937798971/100000000000000000000,17747992707220360180647084157609/100000000000000000000,12044255612201048827150335211933/100000000000000000000,16295518221296657414163960603371/100000000000000000000,543257832602499373921456517/20000000000000000000,-184666378861567/100000000000000000000
43813013398603455547/100000000000000000000,37098920146384630257975061460303/100000000000000000000,12882092194020172047206147475361/100000000000000000000,6434325702081043818682745411677/50000000000000000000,12016706975978477055647304088843/100000000000000000000,6108388117648013785914477197683/50000000000000000000,-2910641751907/50000000000000000000
50540175939644111503/50000000000000000000,13419233059776052110394932414971/100000000000000000000,2590248726009525843979326638749/100000000000000000000,18009693012921201321048968647121/100000000000000000000,5311353527570269054914469671771/25000000000000000000,1091948549948596856129387611/25000000000000000000,-73928168921287/100000000000000000000
4815189614736175197/3125000000000000000,32006346027764296220197698776179/100000000000000000000,5748136906152262643085098034543/100000000000000000000,6324718219308409358415989928741/50000000000000000000,6101193619731052480571170938181/50000000000000000000,3611568261273557819167601594163/50000000000000000000,-4140970961479/100000000000000000000
